augustus_masked-ptg000011l-processed-gene-8.48	11
augustus_masked-ptg000025l-processed-gene-5.22	34
augustus_masked-ptg000067l-processed-gene-3.69	118
augustus_masked-ptg000084l-processed-gene-4.62	1
augustus_masked-ptg000089l-processed-gene-1.49	0
augustus_masked-ptg000119l-processed-gene-14.7	0
augustus_masked-ptg000162l-processed-gene-7.0	31
augustus_masked-ptg000318l-processed-gene-0.11	0
augustus_masked-ptg000326l-processed-gene-1.0	0
augustus_masked-ptg000328l-processed-gene-3.47	4
augustus_masked-ptg000366l-processed-gene-1.19	0
augustus_masked-ptg000395l-processed-gene-5.13	0
augustus_masked-ptg000446l-processed-gene-6.124	6
augustus_masked-ptg000555l-processed-gene-21.105	3
augustus_masked-ptg000612l-processed-gene-2.119	1
augustus_masked-ptg000627l-processed-gene-0.25	157
augustus_masked-ptg000635l-processed-gene-0.19	3
augustus_masked-ptg000679l-processed-gene-0.1	71
augustus_masked-ptg000693l-processed-gene-4.0	0
augustus_masked-ptg000735l-processed-gene-0.3	28
augustus_masked-ptg000746l-processed-gene-5.78	1046
augustus_masked-ptg000762l-processed-gene-0.4	0
augustus_masked-ptg000794l-processed-gene-4.33	0
augustus_masked-ptg000803l-processed-gene-0.16	3
augustus_masked-ptg000830l-processed-gene-5.95	18
augustus_masked-ptg000857l-processed-gene-0.5	0
augustus_masked-ptg000907l-processed-gene-0.50	3
augustus_masked-ptg000912l-processed-gene-0.9	0
augustus_masked-ptg000969l-processed-gene-4.65	2
augustus_masked-ptg001093l-processed-gene-0.13	5
augustus_masked-ptg001262l-processed-gene-3.11	0
augustus_masked-ptg001304l-processed-gene-1.77	1029
augustus_masked-ptg001309l-processed-gene-19.42	43
augustus_masked-ptg001393l-processed-gene-0.0	884
augustus_masked-ptg001547l-processed-gene-0.22	117
augustus_masked-ptg001666l-processed-gene-0.0	0
augustus_masked-ptg001774l-processed-gene-1.8	19
augustus_masked-ptg002109l-processed-gene-0.0	0
augustus_masked-ptg002137l-processed-gene-0.9	5
augustus_masked-ptg002338l-processed-gene-0.65	5
augustus_masked-ptg002386l-processed-gene-0.7	15
augustus_masked-ptg002576l-processed-gene-0.31	262
augustus_masked-ptg002748l-processed-gene-0.17	189
maker-ptg000001l-augustus-gene-0.7	47
maker-ptg000001l-augustus-gene-2.18	0
maker-ptg000001l-augustus-gene-2.21	88
maker-ptg000001l-augustus-gene-2.48	57
maker-ptg000001l-augustus-gene-2.53	183
maker-ptg000001l-augustus-gene-2.60	169
maker-ptg000001l-est_gff_est2genome-gene-0.19	0
maker-ptg000001l-est_gff_est2genome-gene-2.118	0
maker-ptg000001l-snap-gene-0.20	61
maker-ptg000001l-snap-gene-0.23	168
maker-ptg000001l-snap-gene-0.27	34
maker-ptg000001l-snap-gene-1.7	12
maker-ptg000001l-snap-gene-2.144	314
maker-ptg000001l-snap-gene-2.149	6267
maker-ptg000001l-snap-gene-2.172	46
maker-ptg000001l-snap-gene-2.173	95
maker-ptg000001l-snap-gene-2.176	1955
maker-ptg000001l-snap-gene-2.179	362
maker-ptg000003l-augustus-gene-1.163	182
maker-ptg000003l-augustus-gene-1.167	234
maker-ptg000003l-augustus-gene-1.179	76
maker-ptg000003l-snap-gene-0.10	249
maker-ptg000003l-snap-gene-0.11	228
maker-ptg000003l-snap-gene-1.0	136
maker-ptg000003l-snap-gene-1.100	81
maker-ptg000003l-snap-gene-1.102	4
maker-ptg000003l-snap-gene-1.109	53
maker-ptg000003l-snap-gene-1.110	43
maker-ptg000003l-snap-gene-1.12	461
maker-ptg000003l-snap-gene-1.18	2903
maker-ptg000003l-snap-gene-1.22	0
maker-ptg000003l-snap-gene-1.3	728
maker-ptg000003l-snap-gene-1.31	847
maker-ptg000003l-snap-gene-1.76	3094
maker-ptg000003l-snap-gene-1.80	52
maker-ptg000003l-snap-gene-1.81	8
maker-ptg000004l-augustus-gene-13.42	324
maker-ptg000004l-augustus-gene-13.44	542
maker-ptg000004l-augustus-gene-13.54	2169
maker-ptg000004l-augustus-gene-13.58	334
maker-ptg000004l-augustus-gene-14.19	83
maker-ptg000004l-augustus-gene-14.22	0
maker-ptg000004l-augustus-gene-21.17	680
maker-ptg000004l-augustus-gene-21.21	3
